ID,MMPR,FREQR,POIDS_VAS,POIDS_IN,POIDS_IN_OFFN,POIDS_OPK,POIDS_ONG,POIDS_INT,POIDS_ONN,SMART_PHONE,MULTI_EQUIPE,USERS_INTERNET,Cluster,Segment_Name
1834.0,19.23076923076923,13.0,0.0530520798084835,0.0256331560044513,0.0931263858100127,0.8362547174096917,0.9175904901824936,0.0,0.990599281589516,0.0,0.0,0.0,2,Appelants Off-Net
1835.0,10.0,1.0,0.0,0.6887868229342488,0.0905955392044163,0.5158378207109046,1.0,0.0,0.9375989863793748,1.0,0.0,0.0,0,High Value Smartphone
1836.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,Appelants Off-Net
1838.0,12.0,5.0,0.0,0.0,0.0,0.9178736747796986,0.8621134020618558,0.0,0.8821860534571236,0.0,0.0,0.0,2,Appelants Off-Net
1841.0,13.88888888888889,18.0,0.0,0.0,0.0,0.7453955854964329,0.604892966358568,0.0,0.9537050308155006,0.0,0.0,1.0,7,Data Users
1844.0,18.823529411764707,17.0,0.0195891925241891,0.3198188057282322,0.0043088737202571,0.8303623203202134,0.5845665961945031,0.0010207553589645,0.9825354918373552,0.0,0.0,1.0,7,Data Users
1848.0,13.333333333333334,3.0,0.0945626477545841,0.1350153426531215,0.0082972582972343,0.8425795139045457,0.6529850746268656,0.0,0.9852905362622204,0.0,0.0,0.0,2,Appelants Off-Net
1855.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,7,Data Users
1856.0,17.857142857142858,14.0,0.0188985901644005,0.4642572896317037,0.0129483882698295,0.8411957648872361,1.0,0.0,0.99398861635675,0.0,0.0,1.0,7,Data Users
1862.0,20.0,6.0,0.0083368070025871,0.0,0.0,0.5200531429059936,1.0,0.0,1.0,0.0,0.0,0.0,2,Appelants Off-Net
1866.0,6.0,5.0,0.0,0.976804541768368,0.0933659913640584,0.469424168686169,1.0,0.0,0.9087996755888814,0.0,0.0,0.0,2,Appelants Off-Net
1870.0,20.0,2.0,0.1557632398727982,0.0,0.0,0.8683581069538698,0.970873786407654,0.0,0.9987186058431572,0.0,0.0,1.0,7,Data Users
1873.0,11.428571428571429,7.0,0.1161180614578529,0.0,0.0,0.1656441717789847,0.8713991769567901,0.0,0.9410099103360632,0.0,0.0,0.0,2,Appelants Off-Net
1874.0,13.333333333333334,3.0,0.0707714083484958,0.849819859680323,0.0303830420227641,0.7819986094326155,0.7929936305727008,0.0,0.970071424056803,0.0,0.0,1.0,7,Data Users
1878.0,15.0,3.0,0.0,0.5534626823403886,0.4168372569087334,0.8449228154630994,1.0,0.0,0.7692961336918827,0.0,0.0,0.0,2,Appelants Off-Net
1883.0,10.0,1.0,0.2008032128457928,0.0,0.0,0.1562499999924665,1.0,0.0,1.0,0.0,0.0,0.0,2,Appelants Off-Net
1901.0,20.0,5.0,0.0,0.7707069151412438,0.0079932856400725,0.723856460797994,1.0,0.0022716946833319,0.9938395194824968,0.0,0.0,1.0,7,Data Users
1905.0,45.26315789473684,19.0,0.0500450559340601,0.1156245750498893,0.0114550501010194,0.6640865946845522,0.8613288540502366,0.0,0.9966547907204616,0.0,0.0,0.0,2,Appelants Off-Net
1906.0,12.5,4.0,0.0294058811762587,0.0304433383504682,0.1520912547546733,0.7333024655634527,0.9914656771806352,0.0,0.9927074892927508,0.0,0.0,0.0,2,Appelants Off-Net
1910.0,20.0,7.0,0.2391222805701425,0.2268016026786448,0.012026208841309,0.9839167810911008,1.0,0.0,0.997272436560643,0.0,0.0,0.0,2,Appelants Off-Net
1913.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,Appelants Off-Net
1914.0,10.0,3.0,0.0153917192549365,0.4889999999999561,0.0572597137016656,0.5616666666662467,0.9520295202952028,0.0,0.958999999999836,0.0,0.0,1.0,7,Data Users
1915.0,17.5,4.0,0.0,0.0,0.0,0.880989340783933,0.4448017148971061,0.0,0.892786919175766,0.0,0.0,0.0,2,Appelants Off-Net
